name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
kolkata,11-09-2022,30,26,27.5,36.2,26,31.3,24.9,85.6,23.061,100,20.83,rain,0,0,34.6,22.3,121.5,1003.4,90.4,3.4,10.8,0.9,0,30,2022-09-11T05:21:55,2022-09-11T17:44:20,0.51,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"42807099999,42714099999,42811099999,VECC,42812099999,42809099999"
kolkata,12-09-2022,27,25,26,30.1,25,26.3,24.4,91.1,68.183,100,33.33,rain,0,0,45.4,14.8,130.4,1003.1,98.3,2.9,27.9,2.5,2,10,2022-09-12T05:22:13,2022-09-12T17:43:20,0.53,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"42807099999,42714099999,42811099999,VECC,42812099999,42809099999"
kolkata,13-09-2022,28,25.3,26.6,33.6,25.3,28.6,24.8,89.8,38.479,100,16.67,rain,0,0,44.6,22.3,162.8,1005.1,97.2,3,129.5,11.2,8,30,2022-09-13T05:22:30,2022-09-13T17:42:21,0.56,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"42807099999,42714099999,42811099999,VECC,42812099999,42809099999"
kolkata,14-09-2022,29,27,27.9,35.6,30.6,32.8,25.4,86.5,0.086,100,4.17,rain,0,0,43.2,103.7,175.5,1006.4,92,3.5,47.6,4.1,2,30,2022-09-14T05:22:47,2022-09-14T17:41:21,0.6,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"42807099999,42714099999,42811099999,VECC,42812099999,42809099999"
kolkata,15-09-2022,31,27,28.5,40.6,30.4,34.6,26,86.5,0.548,100,8.33,rain,0,0,35.6,16.6,178.1,1005.3,91,3.1,153.2,13.3,6,30,2022-09-15T05:23:04,2022-09-15T17:40:21,0.64,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"42807099999,42714099999,42811099999,VECC,42812099999,42809099999"
kolkata,16-09-2022,33,25.9,28,42.2,25.9,31.8,24.7,83.2,13.157,100,4.17,rain,0,0,18.7,11.2,147.9,1002.5,87.2,3.2,216.5,18.7,8,60,2022-09-16T05:23:21,2022-09-16T17:39:21,0.69,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"42807099999,42714099999,42811099999,VECC,42812099999,42809099999"
kolkata,17-09-2022,30.3,26.4,28,40.3,26.4,33.1,25.5,86.3,0.569,100,8.33,rain,0,0,19.8,18.4,159,1002.7,78.1,3.1,224.3,19.4,9,30,2022-09-17T05:23:39,2022-09-17T17:38:21,0.74,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"42807099999,42714099999,42811099999,VECC,42812099999,42809099999"
kolkata,18-09-2022,33,25.8,29.4,40.7,25.8,34.8,25.3,79.4,0,0,0,rain,0,0,14,11.2,95.6,1003,62.6,3.5,247.8,21.3,9,60,2022-09-18T05:23:56,2022-09-18T17:37:21,0.78,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42807099999,42714099999,42811099999,42805099999,VECC,42812099999,42809099999"
kolkata,19-09-2022,31.5,27,28.5,39.2,30.1,33.8,25.3,82.9,8.722,100,12.5,rain,0,0,40,16.6,90.7,1003,63.5,3.5,241.7,20.9,8,30,2022-09-19T05:24:13,2022-09-19T17:36:21,0.83,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"42807099999,42714099999,42811099999,VECC,42812099999,42809099999"
kolkata,20-09-2022,29,26,27.8,35.6,26,32.4,25.4,87,10.279,100,12.5,rain,0,0,38.9,14.8,100.1,1002.3,78,3.1,251.4,21.9,8,60,2022-09-20T05:24:31,2022-09-20T17:35:21,0.87,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"42807099999,42714099999,42811099999,VECC,42812099999,42809099999"
kolkata,21-09-2022,31.7,27,29.1,40.6,30.6,35.3,25.7,82.3,3.417,100,4.17,rain,0,0,28.4,14.8,138.8,1004.4,58.6,3.4,240.1,20.7,9,60,2022-09-21T05:24:48,2022-09-21T17:34:21,0.91,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"42807099999,42714099999,42811099999,VECC,42812099999,42809099999"
kolkata,22-09-2022,33,27,29.7,42.1,30.6,36,25.5,79.1,0.012,100,4.17,rain,0,0,28.4,18.4,157,1005,59.1,3.8,245.6,21.4,8,30,2022-09-22T05:25:06,2022-09-22T17:33:21,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"42807099999,42714099999,42811099999,VECC,42812099999,42809099999"
kolkata,23-09-2022,33.5,27,30,42.1,30.6,36.3,25.3,76.6,0,0,0,rain,0,0,29.5,18.4,162.2,1005.1,51.1,3.7,246.8,21.3,8,60,2022-09-23T05:25:23,2022-09-23T17:32:21,0.97,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42807099999,42714099999,42811099999,VECC,42812099999,42809099999"
kolkata,24-09-2022,33.8,27,30.1,41.3,30.6,36.3,25.2,75.6,2.433,100,4.17,rain,0,0,26.3,14.8,155.9,1004.9,53.9,3.7,206.9,18,8,60,2022-09-24T05:25:41,2022-09-24T17:31:21,0.99,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"42807099999,42714099999,42811099999,VECC,42812099999,42809099999"
